delivery_id,request_id,warehouse_id,quantity_delivered,promised_date,delivered_date,status
10115,6115,1,7182,2025-11-01,2025-11-01,Delivered
10116,6116,1,8073,2025-10-19,2025-10-19,Delivered
10117,6117,1,8374,2025-11-02,2025-11-02,Partial
10118,6118,1,929,2025-10-20,2025-10-20,Delivered
10119,6119,1,999,2025-10-25,2025-10-25,Partial
10120,6120,1,4594,2026-02-17,2026-02-17,Partial
10121,6121,1,1506,2026-02-19,2026-02-19,Delivered
10122,6122,1,4970,2026-02-17,2026-02-17,Delivered
10123,6123,1,6738,2026-02-18,2026-02-18,Delivered
10124,6124,1,5501,2026-02-07,2026-02-07,Partial
10125,6125,1,1864,2026-02-12,2026-02-12,Delivered
10126,6126,1,4629,2026-02-10,2026-02-10,Partial
10127,6127,1,3008,2026-02-17,2026-02-17,Delivered
10128,6128,4,6791,2025-10-27,2025-10-27,Partial
10129,6129,4,14550,2025-10-12,2025-10-12,Partial
10130,6130,4,7238,2025-10-31,2025-10-31,Partial
10131,6131,4,6449,2025-10-09,2025-10-09,Partial
10132,6132,4,7286,2025-10-11,2025-10-19,Partial
10133,6133,1,1964,2025-10-28,2025-10-28,Delivered
10134,6134,1,21654,2025-10-12,2025-10-12,Partial
10135,6135,1,5674,2025-10-22,2025-10-22,Delivered
10136,6136,1,832,2025-10-12,2025-10-12,Lost
10137,6137,1,3952,2025-11-03,2025-11-03,Delivered
10138,6138,1,2821,2026-02-18,2026-02-18,Delivered
10139,6139,1,7875,2026-03-02,2026-03-02,Delivered
10140,6140,1,5070,2026-03-01,2026-03-01,Delivered
10141,6141,1,4682,2026-02-11,2026-02-11,Partial
10142,6142,1,7210,2026-03-01,2026-03-01,Partial
10143,6143,1,3971,2025-10-28,2025-10-28,Delivered
10144,6144,1,3872,2025-10-15,2025-10-15,Delivered
10145,6145,1,2636,2025-10-24,2025-10-24,Delivered
10146,6146,1,2112,2025-10-11,2025-10-11,Partial
10147,6147,1,8427,2025-10-27,2025-10-27,Partial
10148,6148,1,3131,2026-02-28,2026-02-28,Delivered
10149,6149,1,3935,2026-02-11,2026-02-11,Partial
10150,6150,1,3880,2026-02-20,2026-02-20,Partial
10151,6151,1,4911,2026-03-04,2026-03-04,Delivered
10152,6152,1,2329,2025-10-17,2025-10-17,Delivered
10153,6153,1,7582,2025-10-25,2025-10-25,Delivered
10154,6154,1,7641,2025-10-28,2025-10-28,Delivered
10155,6155,1,1940,2025-10-14,2025-10-14,Delivered
10156,6156,1,4917,2025-10-30,2025-10-30,Partial
10157,6157,1,7427,2026-03-05,2026-03-05,Partial
10158,6158,1,3748,2026-02-09,2026-02-09,Delivered
10159,6159,1,5012,2026-02-26,2026-02-26,Delivered
10160,6160,1,1830,2025-10-26,2025-10-26,Partial
10161,6161,1,5692,2025-10-29,2025-10-29,Partial
10162,6162,1,16028,2025-11-02,2025-11-02,Partial
10163,6163,1,4236,2025-10-13,2025-10-13,Delivered
10164,6164,1,6538,2025-10-22,2025-10-22,Delivered
10165,6165,1,5116,2025-10-18,2025-10-18,Partial
10166,6166,1,6798,2025-10-29,2025-10-29,Delivered
10167,6167,1,6514,2025-10-18,2025-10-18,Delivered
10168,6168,1,8056,2026-02-15,2026-02-15,Delivered
10169,6169,1,1638,2026-02-20,2026-02-20,Delivered
10170,6170,1,3328,2026-02-17,2026-02-17,Delivered
10171,6171,1,1649,2026-02-26,2026-02-26,Partial
10172,6172,1,2297,2026-02-26,2026-02-26,Delivered
10173,6173,1,1127,2025-10-18,2025-10-18,Delivered
10174,6174,1,6473,2025-10-31,2025-10-31,Delivered
10175,6175,1,7639,2025-10-23,2025-10-23,Partial
10176,6176,1,8551,2025-11-07,2025-11-07,Delivered
10177,6177,1,4587,2026-02-26,2026-02-26,Delivered
10178,6178,1,5491,2026-02-14,2026-02-14,Delivered
10179,6179,1,659,2026-02-24,2026-02-24,Delivered
10180,6180,1,1532,2026-02-25,2026-02-25,Partial
10181,6181,1,5642,2026-02-21,2026-02-21,Partial
10182,6182,1,2796,2026-02-16,2026-02-16,Partial
10183,6183,1,4117,2026-02-16,2026-02-17,Delivered
10184,6184,1,865,2026-02-25,2026-02-25,Delivered
10185,6185,1,12773,2025-10-29,2025-10-29,Delivered
10186,6186,1,8415,2025-10-18,2025-10-18,Delivered
10187,6187,1,2773,2025-10-17,2025-10-17,Partial
10188,6188,1,10341,2025-10-11,2025-10-11,Delivered
10189,6189,1,7482,2025-10-07,2025-10-07,Delivered
10190,6190,1,7422,2025-10-20,2025-10-20,Delivered
10191,6191,1,4743,2025-10-28,2025-10-28,Delivered
10192,6192,1,8464,2026-02-12,2026-02-12,Partial
10193,6193,1,6364,2026-03-11,2026-03-11,Delivered
10194,6194,1,8402,2026-03-07,2026-03-07,Partial
10195,6195,1,2702,2026-03-03,2026-03-03,Delivered
10196,6196,1,4943,2026-02-10,2026-02-10,Partial
10197,6197,1,1439,2026-02-28,2026-02-28,Partial
10198,6198,1,5178,2025-10-27,2025-10-27,Partial
10199,6199,1,5932,2025-11-04,2025-11-04,Delivered
10200,6200,1,1072,2025-10-23,2025-10-23,Partial
10201,6201,1,1396,2025-10-11,2025-10-11,Partial
10202,6202,1,3227,2025-10-12,2025-10-12,Delivered
10203,6203,1,7132,2026-03-07,2026-03-07,Partial
10204,6204,1,3999,2026-02-17,2026-02-22,Delivered
10205,6205,1,969,2026-02-09,2026-02-09,Delivered
10206,6206,1,1999,2026-02-18,2026-02-18,Delivered
10207,6207,1,3858,2026-02-19,2026-02-19,Partial
10208,6208,1,845,2025-10-27,2025-10-27,Delivered
10209,6209,1,7216,2025-11-05,2025-11-05,Delivered
10210,6210,1,2986,2025-10-26,2025-10-26,Delivered
10211,6211,1,3092,2025-10-18,2025-10-18,Partial
10212,6212,1,5010,2025-10-20,2025-10-20,Delivered
10213,6213,1,35,2025-10-30,2025-10-30,Lost
10214,6214,1,18814,2025-10-20,2025-10-20,Delivered
10215,6215,1,5268,2026-03-05,2026-03-05,Delivered
10216,6216,1,6158,2026-02-11,2026-02-11,Delivered
10217,6217,1,7224,2026-03-08,2026-03-08,Delivered
10218,6218,1,3870,2026-03-01,2026-03-01,Delivered
10219,6219,1,8400,2026-02-16,2026-02-16,Delivered
10220,6220,1,3105,2025-10-07,2025-10-07,Delivered
10221,6221,1,1949,2025-10-11,2025-10-11,Delivered
10222,6222,1,4864,2025-10-18,2025-10-18,Partial
10223,6223,1,2206,2026-02-19,2026-02-19,Partial
10224,6224,1,7794,2026-02-23,2026-02-26,Partial
10225,6225,1,15641,2026-02-28,2026-02-28,Delivered
10226,6226,1,6963,2026-03-01,2026-03-01,Delivered
10227,6227,1,1161,2026-03-07,2026-03-07,Delivered
10228,6228,1,3021,2026-02-18,2026-02-18,Delivered
10229,6229,1,6514,2025-10-17,2025-10-17,Delivered
10230,6230,1,7261,2025-10-20,2025-10-20,Delivered
10231,6231,1,4566,2025-10-31,2025-10-31,Delivered
10232,6232,1,1247,2025-10-28,2025-10-28,Delivered
10233,6233,1,7712,2026-02-18,2026-02-18,Delivered
10234,6234,1,8070,2026-02-16,2026-02-16,Partial
10235,6235,1,8066,2026-02-28,2026-02-28,Partial
10236,6236,1,7643,2026-02-12,2026-02-12,Partial
10237,6237,1,7544,2025-10-16,2025-10-16,Partial
10238,6238,1,2045,2025-10-30,2025-10-30,Delivered
10239,6239,1,6907,2025-10-15,2025-10-15,Delivered
10240,6240,1,2875,2025-11-04,2025-11-04,Delivered
10241,6241,1,2618,2025-10-16,2025-10-16,Delivered
10242,6242,1,12595,2025-11-02,2025-11-02,Delivered
10243,6243,1,2198,2026-03-02,2026-03-02,Delivered
10244,6244,1,6424,2026-02-20,2026-02-20,Delivered
10245,6245,1,4950,2026-02-14,2026-02-14,Partial
10246,6246,1,2482,2026-03-06,2026-03-06,Delivered
10247,6247,1,3890,2026-02-14,2026-02-14,Delivered
10248,6248,1,3525,2025-10-27,2025-10-27,Partial
10249,6249,1,5140,2025-10-09,2025-10-09,Delivered
10250,6250,1,7276,2025-10-24,2025-10-24,Partial
10251,6251,1,4492,2025-10-26,2025-10-26,Delivered
10252,6252,1,1666,2025-10-26,2025-10-26,Delivered
10253,6253,1,8378,2025-10-27,2025-10-27,Delivered
10254,6254,1,7943,2025-10-26,2025-10-26,Delivered
10255,6255,1,4548,2025-10-21,2025-10-21,Delivered
10256,6256,1,6586,2026-02-11,2026-02-11,Delivered
10257,6257,1,1923,2026-02-20,2026-02-20,Delivered
10258,6258,1,8737,2026-02-21,2026-02-21,Partial
10259,6259,1,6859,2026-02-16,2026-02-16,Partial
10260,6260,1,8738,2026-02-18,2026-02-18,Delivered
10261,6261,1,8517,2026-02-18,2026-02-18,Delivered
10262,6262,1,7079,2026-03-03,2026-03-03,Delivered
10263,6263,1,5275,2026-02-27,2026-02-27,Partial
10264,6264,1,1321,2025-10-20,2025-10-20,Delivered
10265,6265,1,4000,2025-11-01,2025-11-02,Delivered
10266,6266,1,6031,2025-10-16,2025-10-16,Delivered
10267,6267,1,4460,2026-02-11,2026-02-11,Delivered
10268,6268,1,8043,2026-02-24,2026-02-24,Partial
10269,6269,1,8487,2026-03-04,2026-03-04,Delivered
10270,6270,1,1913,2026-02-24,2026-02-24,Partial
10271,6271,1,8307,2025-11-04,2025-11-04,Partial
10272,6272,1,1663,2025-10-18,2025-10-18,Delivered
10273,6273,1,4992,2025-10-14,2025-10-14,Delivered
10274,6274,1,2569,2025-10-27,2025-10-27,Delivered
10275,6275,1,7199,2026-02-14,2026-02-14,Delivered
10276,6276,1,4408,2026-03-09,2026-03-09,Delivered
10277,6277,1,6029,2026-02-19,2026-02-19,Delivered
10278,6278,1,4921,2026-03-03,2026-03-03,Delivered
10279,6279,1,2330,2026-02-16,2026-02-16,Delivered
10280,6280,1,8074,2026-03-01,2026-03-01,Partial
10281,6281,1,6706,2026-02-09,2026-02-09,Partial
10282,6282,1,4890,2026-03-06,2026-03-06,Partial
10283,6283,1,2659,2025-10-16,2025-10-16,Delivered
10284,6284,1,6735,2025-10-12,2025-10-12,Delivered
10285,6285,1,7957,2025-10-10,2025-10-12,Delivered
10286,6286,1,6146,2025-11-05,2025-11-05,Partial
10287,6287,1,3696,2025-10-07,2025-10-07,Partial
10288,6288,1,1299,2025-10-29,2025-10-29,Delivered
10289,6289,1,3980,2025-10-18,2025-10-18,Partial
10290,6290,1,4060,2025-10-16,2025-10-16,Partial
10291,6291,1,1223,2026-02-13,2026-02-13,Partial
10292,6292,1,3036,2026-02-14,2026-02-14,Delivered
10293,6293,1,5780,2026-02-20,2026-02-20,Delivered
10294,6294,1,4251,2026-02-17,2026-02-17,Partial
10295,6295,1,2572,2026-02-22,2026-02-22,Delivered
10296,6296,1,5722,2026-03-06,2026-03-06,Delivered
10297,6297,1,1200,2026-02-27,2026-02-27,Delivered
10298,6298,1,8478,2026-02-22,2026-02-22,Partial
10299,6299,1,3630,2025-11-01,2025-11-01,Delivered
10300,6300,1,8627,2025-10-11,2025-10-11,Delivered
10301,6301,1,1871,2025-10-19,2025-10-23,Delivered
10302,6302,1,2426,2025-10-17,2025-10-18,Partial
10303,6303,1,1514,2025-10-25,2025-10-25,Delivered
10304,6304,1,6209,2025-11-04,2025-11-04,Delivered
10305,6305,1,7206,2026-02-08,2026-02-08,Delivered
10306,6306,1,5829,2026-03-01,2026-03-01,Partial
10307,6307,1,2134,2026-03-07,2026-03-07,Partial
10308,6308,1,768,2026-02-09,2026-02-09,Delivered
10309,6309,1,1056,2026-02-26,2026-02-26,Delivered
10310,6310,1,420,2025-10-24,2025-10-24,Lost
10311,6311,1,5161,2025-10-30,2025-10-30,Delivered
10312,6312,1,8471,2025-10-22,2025-10-22,Delivered
10313,6313,1,956,2025-10-24,2025-10-24,Partial
10314,6314,1,5746,2026-02-27,2026-02-27,Partial
10315,6315,1,13663,2026-03-02,2026-03-02,Delivered
10316,6316,1,1044,2026-02-18,2026-02-18,Lost
10317,6317,1,699,2026-03-04,2026-03-04,Delivered
10318,6318,1,1139,2025-11-05,2025-11-05,Delivered
10319,6319,1,18478,2025-10-30,2025-10-30,Delivered
10320,6320,1,3161,2025-10-15,2025-10-15,Delivered
10321,6321,1,4390,2025-10-25,2025-10-25,Partial
10322,6322,1,7736,2025-10-26,2025-10-26,Delivered
10323,6323,1,8806,2025-10-17,2025-10-17,Delivered
10324,6324,1,4500,2025-10-11,2025-10-11,Partial
10325,6325,1,872,2026-02-19,2026-02-19,Partial
10326,6326,1,2889,2026-02-10,2026-02-10,Partial
10327,6327,1,2311,2026-02-21,2026-02-21,Partial
10328,6328,1,3077,2026-02-21,2026-02-21,Partial
10329,6329,1,3854,2025-10-09,2025-10-09,Delivered
10330,6330,1,4794,2025-10-31,2025-10-31,Partial
10331,6331,1,770,2025-10-18,2025-10-18,Partial
10332,6332,1,23346,2026-02-19,2026-02-19,Delivered
10333,6333,1,14376,2026-02-17,2026-02-17,Partial
10334,6334,1,3040,2026-02-19,2026-02-19,Delivered
10335,6335,1,970,2026-02-08,2026-02-08,Delivered
10336,6336,1,4733,2025-10-14,2025-10-14,Partial
10337,6337,1,4951,2025-10-12,2025-10-12,Partial
10338,6338,1,2258,2025-10-19,2025-10-19,Delivered
10339,6339,1,3462,2025-10-21,2025-10-21,Delivered
10340,6340,1,2326,2025-10-20,2025-10-20,Partial
10341,6341,1,2587,2025-10-15,2025-10-15,Delivered
10342,6342,1,6437,2025-10-31,2025-10-31,Delivered
10343,6343,1,4928,2025-10-22,2025-10-22,Partial
10344,6344,1,8288,2026-02-11,2026-02-11,Partial
10345,6345,1,8097,2026-02-23,2026-02-23,Partial
10346,6346,1,2491,2026-02-16,2026-02-16,Delivered
10347,6347,1,8399,2026-02-14,2026-02-14,Delivered
10348,6348,1,7026,2025-10-27,2025-10-30,Delivered
10349,6349,1,897,2025-10-09,2025-10-09,Delivered
10350,6350,1,4875,2025-11-03,2025-11-03,Delivered
10351,6351,1,4468,2025-10-19,2025-10-19,Delivered
10352,6352,1,8155,2025-10-23,2025-10-23,Delivered
10353,6353,1,999,2025-10-14,2025-10-14,Delivered
10354,6354,1,6192,2025-11-04,2025-11-04,Delivered
10355,6355,1,1982,2026-02-18,2026-02-18,Partial
10356,6356,1,5271,2026-02-12,2026-02-12,Delivered
10357,6357,1,4772,2026-02-12,2026-02-12,Partial
10358,6358,1,2143,2026-02-14,2026-02-14,Delivered
10359,6359,1,1468,2026-03-01,2026-03-01,Delivered
10360,6360,1,1334,2026-03-01,2026-03-01,Delivered
10361,6361,1,4386,2026-02-15,2026-02-15,Delivered
10362,6362,1,7252,2026-02-22,2026-02-22,Delivered
10363,6363,1,6746,2025-10-19,2025-10-19,Partial
10364,6364,1,12545,2025-10-19,2025-10-19,Delivered
10365,6365,1,3135,2025-10-24,2025-10-24,Delivered
10366,6366,1,3025,2025-10-23,2025-10-23,Delivered
10367,6367,1,6465,2025-10-21,2025-10-21,Delivered
10368,6368,1,1649,2026-02-10,2026-02-10,Delivered
10369,6369,1,5721,2026-02-28,2026-02-28,Delivered
10370,6370,1,2373,2026-03-02,2026-03-02,Delivered
10371,6371,1,6489,2026-02-23,2026-02-23,Delivered
10372,6372,1,3019,2026-02-16,2026-02-16,Delivered
10373,6373,1,903,2026-02-22,2026-02-22,Partial
10374,6374,1,6836,2026-02-16,2026-02-16,Delivered
10375,6375,1,4220,2026-03-02,2026-03-02,Delivered
10376,6376,1,6952,2025-10-17,2025-10-17,Delivered
10377,6377,1,12644,2025-10-09,2025-10-11,Partial
10378,6378,1,1606,2025-10-14,2025-10-14,Delivered
10379,6379,1,1757,2026-02-14,2026-02-14,Delivered
10380,6380,1,1170,2026-02-24,2026-02-24,Delivered
10381,6381,1,1125,2026-03-03,2026-03-03,Partial
10382,6382,1,7636,2026-02-22,2026-02-22,Delivered
10383,6383,1,4780,2026-02-17,2026-02-17,Delivered
10384,6384,1,1515,2025-10-29,2025-10-29,Delivered
10385,6385,1,2760,2025-10-24,2025-10-24,Partial
10386,6386,1,7304,2025-11-02,2025-11-02,Delivered
10387,6387,1,7996,2026-02-09,2026-02-09,Delivered
10388,6388,1,133,2026-02-10,2026-02-15,Lost
10389,6389,1,2726,2026-02-20,2026-02-20,Delivered
10390,6390,1,4468,2025-10-30,2025-10-30,Delivered
10391,6391,1,4998,2025-11-07,2025-11-07,Delivered
10392,6392,1,3428,2025-10-16,2025-10-16,Partial
10393,6393,1,1420,2025-10-18,2025-10-18,Delivered
10394,6394,1,1060,2025-10-25,2025-10-25,Delivered
10395,6395,1,4477,2025-10-15,2025-10-15,Delivered
10396,6396,1,6090,2025-10-29,2025-10-29,Partial
10397,6397,1,15031,2026-02-23,2026-02-23,Delivered
10398,6398,1,2158,2026-03-01,2026-03-01,Delivered
10399,6399,1,1463,2026-02-21,2026-02-21,Delivered
10400,6400,1,2431,2025-11-05,2025-11-05,Delivered
10401,6401,1,4285,2025-10-12,2025-10-12,Delivered
10402,6402,1,1797,2025-10-13,2025-10-13,Delivered
10403,6403,1,1460,2025-10-13,2025-10-13,Delivered
10404,6404,1,1502,2025-11-06,2025-11-06,Delivered
10405,6405,1,7832,2025-11-04,2025-11-04,Partial
10406,6406,1,879,2025-11-03,2025-11-03,Delivered
10407,6407,1,8406,2025-10-11,2025-10-11,Delivered
10408,6408,1,2663,2026-02-10,2026-02-10,Partial
10409,6409,1,8786,2026-02-14,2026-02-14,Delivered
10410,6410,1,4225,2026-02-09,2026-02-09,Delivered
10411,6411,1,5770,2026-02-26,2026-02-26,Delivered
10412,6412,1,10418,2026-03-02,2026-03-02,Delivered
10413,6413,1,2695,2026-03-04,2026-03-04,Delivered
10414,6414,1,3036,2026-02-16,2026-02-16,Delivered
10415,6415,1,13400,2026-02-14,2026-02-14,Partial
10416,6416,1,6747,2025-10-28,2025-10-28,Delivered
10417,6417,1,6020,2025-10-15,2025-10-15,Delivered
10418,6418,1,5157,2025-10-18,2025-10-18,Delivered
10419,6419,1,54,2025-10-15,2025-10-15,Lost
10420,6420,1,1980,2025-10-11,2025-10-11,Delivered
10421,6421,1,7340,2026-02-17,2026-02-17,Delivered
10422,6422,1,4232,2026-02-20,2026-02-20,Delivered
10423,6423,1,4393,2026-02-28,2026-02-28,Delivered
10424,6424,1,4958,2026-02-18,2026-02-18,Delivered
10425,6425,1,5280,2026-03-02,2026-03-02,Delivered
10426,6426,1,8003,2026-02-26,2026-02-26,Delivered
10427,6427,1,8844,2026-02-15,2026-02-15,Delivered
10428,6428,1,2565,2026-02-20,2026-02-20,Partial
10429,6429,1,5408,2025-10-14,2025-10-14,Delivered
10430,6430,1,6074,2025-10-15,2025-10-15,Delivered
10431,6431,1,4346,2025-10-14,2025-10-14,Delivered
10432,6432,1,7487,2025-11-01,2025-11-01,Partial
10433,6433,1,20272,2025-10-23,2025-10-23,Delivered
10434,6434,1,4705,2025-10-20,2025-10-20,Delivered
10435,6435,1,1123,2025-10-19,2025-10-19,Partial
10436,6436,1,6656,2026-03-03,2026-03-03,Partial
10437,6437,1,3787,2026-02-20,2026-02-20,Delivered
10438,6438,1,861,2026-03-09,2026-03-09,Delivered
10439,6439,1,7399,2026-02-10,2026-02-10,Delivered
10440,6440,1,5863,2026-02-09,2026-02-09,Partial
10441,6441,1,2426,2026-02-27,2026-02-27,Partial
10442,6442,1,7197,2026-02-26,2026-02-26,Partial
10443,6443,1,1694,2026-02-27,2026-02-27,Partial
10444,6444,1,5164,2025-10-20,2025-10-20,Delivered
10445,6445,1,8851,2025-10-12,2025-10-12,Delivered
10446,6446,1,2025,2025-10-17,2025-10-17,Partial
10447,6447,1,7587,2026-02-27,2026-02-27,Delivered
10448,6448,1,6246,2026-02-22,2026-02-22,Delivered
10449,6449,1,1196,2026-02-23,2026-02-25,Delivered
10450,6450,1,3093,2026-02-27,2026-02-27,Delivered
10451,6451,1,5119,2026-02-23,2026-02-23,Partial
10452,6452,1,3517,2025-10-31,2025-10-31,Delivered
10453,6453,1,3807,2025-10-24,2025-10-24,Delivered
10454,6454,1,5416,2025-10-31,2025-11-01,Delivered
10455,6455,1,1088,2026-02-22,2026-02-22,Partial
10456,6456,1,2134,2026-02-06,2026-02-06,Delivered
10457,6457,1,826,2026-02-21,2026-02-21,Delivered
10458,6458,1,3013,2026-02-21,2026-02-21,Delivered
10459,6459,1,4471,2026-03-06,2026-03-06,Delivered
10460,6460,1,2273,2025-10-30,2025-10-30,Delivered
10461,6461,1,5637,2025-10-10,2025-10-10,Delivered
10462,6462,1,3687,2025-10-26,2025-10-26,Delivered
10463,6463,1,2906,2025-10-20,2025-10-20,Delivered
10464,6464,1,8488,2025-10-17,2025-10-17,Delivered
10465,6465,1,4908,2025-10-15,2025-10-15,Delivered
10466,6466,1,877,2026-03-05,2026-03-05,Partial
