request_id,district,sector,site_name,farmer_name,fertilizer_type,quantity_bags,price_per_bag,total_amount,request_date,delivery_status
1202,Kicukiro,Sector 4,Sector 4 Site,Farmer_1202,DAP,23,35,805,2026-07-08,Pending
1207,Rwamagana,Sector 9,Sector 9 Site,Farmer_1207,DAP,6,35,210,2026-07-23,Delivered
1211,Kamonyi,Sector 7,Sector 7 Site,Farmer_1211,DAP,37,35,1295,2026-07-27,Delivered
1218,Karongi,Sector 7,Sector 7 Site,Farmer_1218,DAP,16,35,560,2026-07-17,Pending
1221,Rulindo,Sector 5,Sector 5 Site,Farmer_1221,DAP,42,35,1470,2026-07-03,Pending
1223,Gatsibo,Sector 12,Sector 12 Site,Farmer_1223,DAP,59,35,2065,2026-07-17,Delivered
1225,Kamonyi,Sector 2,Sector 2 Site,Farmer_1225,DAP,5,35,175,2026-07-06,Delivered
1228,Rubavu,Sector 6,Sector 6 Site,Farmer_1228,DAP,36,35,1260,2026-07-11,Delivered
1231,Huye,Sector 1,Sector 1 Site,Farmer_1231,DAP,33,35,1155,2026-07-01,Booked
1234,Ruhango,Sector 12,Sector 12 Site,Farmer_1234,DAP,40,35,1400,2026-07-03,Pending
1235,Ngoma,Sector 6,Sector 6 Site,Farmer_1235,DAP,51,35,1785,2026-07-10,Pending
1237,Rubavu,Sector 5,Sector 5 Site,Farmer_1237,DAP,18,35,630,2026-07-27,Booked
1240,Burera,Sector 6,Sector 6 Site,Farmer_1240,DAP,27,35,945,2026-07-04,Delivered
1242,Ngoma,Sector 1,Sector 1 Site,Farmer_1242,DAP,53,35,1855,2026-07-16,Delivered
1244,Nyagatare,Sector 9,Sector 9 Site,Farmer_1244,DAP,16,35,560,2026-07-01,Pending
1248,Rwamagana,Sector 3,Sector 3 Site,Farmer_1248,DAP,29,35,1015,2026-07-21,Booked
1250,Musanze,Sector 12,Sector 12 Site,Farmer_1250,DAP,54,35,1890,2026-07-27,Pending
1251,Kicukiro,Sector 10,Sector 10 Site,Farmer_1251,DAP,42,35,1470,2026-07-14,Delivered
1255,Gicumbi,Sector 11,Sector 11 Site,Farmer_1255,DAP,38,35,1330,2026-07-31,Delivered
1257,Gasabo,Sector 4,Sector 4 Site,Farmer_1257,DAP,9,35,315,2026-07-02,Pending
1263,Gatsibo,Sector 12,Sector 12 Site,Farmer_1263,DAP,57,35,1995,2026-07-16,Pending
1266,Huye,Sector 11,Sector 11 Site,Farmer_1266,DAP,43,35,1505,2026-07-23,Pending
1268,Rwamagana,Sector 8,Sector 8 Site,Farmer_1268,DAP,53,35,1855,2026-07-18,Delivered
1272,Nyamasheke,Sector 4,Sector 4 Site,Farmer_1272,DAP,53,35,1855,2026-07-31,Pending
1275,Ngoma,Sector 2,Sector 2 Site,Farmer_1275,DAP,27,35,945,2026-07-17,Delivered
1280,Rubavu,Sector 5,Sector 5 Site,Farmer_1280,DAP,58,35,2030,2026-07-15,Booked
1286,Ngoma,Sector 11,Sector 11 Site,Farmer_1286,DAP,54,35,1890,2026-07-30,Booked
1287,Ngororero,Sector 2,Sector 2 Site,Farmer_1287,DAP,38,35,1330,2026-07-18,Booked
1290,Ngororero,Sector 12,Sector 12 Site,Farmer_1290,DAP,49,35,1715,2026-07-25,Delivered
1291,Gakenke,Sector 2,Sector 2 Site,Farmer_1291,DAP,10,35,350,2026-07-03,Booked
1294,Nyarugenge,Sector 9,Sector 9 Site,Farmer_1294,DAP,27,35,945,2026-07-28,Booked
1297,Rusizi,Sector 5,Sector 5 Site,Farmer_1297,DAP,25,35,875,2026-07-28,Delivered
1298,Ruhango,Sector 12,Sector 12 Site,Farmer_1298,DAP,42,35,1470,2026-07-08,Pending
1301,Gatsibo,Sector 8,Sector 8 Site,Farmer_1301,DAP,21,35,735,2026-07-27,Delivered
1303,Rwamagana,Sector 3,Sector 3 Site,Farmer_1303,DAP,20,35,700,2026-07-27,Booked
1309,Musanze,Sector 10,Sector 10 Site,Farmer_1309,DAP,28,35,980,2026-07-23,Pending
1313,Nyabihu,Sector 11,Sector 11 Site,Farmer_1313,DAP,31,35,1085,2026-07-31,Pending
1315,Nyanza,Sector 12,Sector 12 Site,Farmer_1315,DAP,34,35,1190,2026-07-17,Pending
1320,Kicukiro,Sector 7,Sector 7 Site,Farmer_1320,DAP,52,35,1820,2026-07-24,Booked
1321,Kayonza,Sector 8,Sector 8 Site,Farmer_1321,DAP,51,35,1785,2026-07-15,Delivered
1323,Gakenke,Sector 12,Sector 12 Site,Farmer_1323,DAP,60,35,2100,2026-07-06,Booked
1324,Nyanza,Sector 4,Sector 4 Site,Farmer_1324,DAP,36,35,1260,2026-07-05,Pending
1333,Huye,Sector 2,Sector 2 Site,Farmer_1333,DAP,31,35,1085,2026-07-05,Booked
1335,Muhanga,Sector 4,Sector 4 Site,Farmer_1335,DAP,17,35,595,2026-07-29,Delivered
1342,Nyabihu,Sector 5,Sector 5 Site,Farmer_1342,DAP,43,35,1505,2026-07-10,Pending
1346,Rulindo,Sector 8,Sector 8 Site,Farmer_1346,DAP,9,35,315,2026-07-13,Booked
1353,Musanze,Sector 5,Sector 5 Site,Farmer_1353,DAP,14,35,490,2026-07-15,Pending
1362,Rutsiro,Sector 1,Sector 1 Site,Farmer_1362,DAP,17,35,595,2026-07-24,Pending
1363,Gasabo,Sector 12,Sector 12 Site,Farmer_1363,DAP,7,35,245,2026-07-13,Booked
1364,Gatsibo,Sector 2,Sector 2 Site,Farmer_1364,DAP,35,35,1225,2026-07-22,Pending
1367,Muhanga,Sector 10,Sector 10 Site,Farmer_1367,DAP,26,35,910,2026-07-28,Booked
1370,Gisagara,Sector 7,Sector 7 Site,Farmer_1370,DAP,47,35,1645,2026-07-13,Booked
1374,Gicumbi,Sector 7,Sector 7 Site,Farmer_1374,DAP,8,35,280,2026-07-28,Booked
1375,Rulindo,Sector 6,Sector 6 Site,Farmer_1375,DAP,36,35,1260,2026-07-26,Booked
1385,Kamonyi,Sector 5,Sector 5 Site,Farmer_1385,DAP,51,35,1785,2026-07-07,Booked
1388,Muhanga,Sector 12,Sector 12 Site,Farmer_1388,DAP,52,35,1820,2026-07-24,Booked
1393,Burera,Sector 6,Sector 6 Site,Farmer_1393,DAP,37,35,1295,2026-07-05,Delivered
1394,Kirehe,Sector 4,Sector 4 Site,Farmer_1394,DAP,54,35,1890,2026-07-17,Pending
1403,Rubavu,Sector 5,Sector 5 Site,Farmer_1403,DAP,26,35,910,2026-07-05,Pending
1404,Ruhango,Sector 9,Sector 9 Site,Farmer_1404,DAP,42,35,1470,2026-07-27,Delivered
1406,Nyaruguru,Sector 7,Sector 7 Site,Farmer_1406,DAP,57,35,1995,2026-07-30,Booked
1419,Huye,Sector 6,Sector 6 Site,Farmer_1419,DAP,5,35,175,2026-07-26,Delivered
1436,Musanze,Sector 7,Sector 7 Site,Farmer_1436,DAP,15,35,525,2026-07-24,Pending
1442,Kayonza,Sector 4,Sector 4 Site,Farmer_1442,DAP,60,35,2100,2026-07-06,Delivered
1445,Nyagatare,Sector 9,Sector 9 Site,Farmer_1445,DAP,35,35,1225,2026-07-31,Booked
1449,Gasabo,Sector 3,Sector 3 Site,Farmer_1449,DAP,56,35,1960,2026-07-09,Pending
1454,Nyamasheke,Sector 2,Sector 2 Site,Farmer_1454,DAP,28,35,980,2026-07-27,Booked
1459,Kamonyi,Sector 12,Sector 12 Site,Farmer_1459,DAP,30,35,1050,2026-07-25,Delivered
1461,Kamonyi,Sector 1,Sector 1 Site,Farmer_1461,DAP,13,35,455,2026-07-26,Delivered
1462,Gisagara,Sector 3,Sector 3 Site,Farmer_1462,DAP,51,35,1785,2026-07-18,Booked
1464,Rwamagana,Sector 2,Sector 2 Site,Farmer_1464,DAP,19,35,665,2026-07-28,Pending
1466,Gicumbi,Sector 8,Sector 8 Site,Farmer_1466,DAP,26,35,910,2026-07-20,Booked
1481,Kicukiro,Sector 2,Sector 2 Site,Farmer_1481,DAP,50,35,1750,2026-07-11,Delivered
1485,Ngoma,Sector 11,Sector 11 Site,Farmer_1485,DAP,34,35,1190,2026-07-22,Booked
1487,Kirehe,Sector 8,Sector 8 Site,Farmer_1487,DAP,17,35,595,2026-07-11,Pending
1488,Bugesera,Sector 5,Sector 5 Site,Farmer_1488,DAP,15,35,525,2026-07-15,Delivered
1493,Rutsiro,Sector 2,Sector 2 Site,Farmer_1493,DAP,11,35,385,2026-07-08,Delivered
1501,Gasabo,Sector 9,Sector 9 Site,Farmer_1501,DAP,11,35,385,2026-07-27,Booked
1504,Musanze,Sector 2,Sector 2 Site,Farmer_1504,DAP,42,35,1470,2026-07-03,Delivered
1507,Gatsibo,Sector 8,Sector 8 Site,Farmer_1507,DAP,36,35,1260,2026-07-26,Booked
1510,Kicukiro,Sector 1,Sector 1 Site,Farmer_1510,DAP,14,35,490,2026-07-04,Pending
1516,Ngororero,Sector 12,Sector 12 Site,Farmer_1516,DAP,32,35,1120,2026-07-22,Booked
1517,Huye,Sector 6,Sector 6 Site,Farmer_1517,DAP,49,35,1715,2026-07-09,Delivered
1519,Gisagara,Sector 6,Sector 6 Site,Farmer_1519,DAP,50,35,1750,2026-07-01,Pending
1524,Ruhango,Sector 5,Sector 5 Site,Farmer_1524,DAP,26,35,910,2026-07-12,Pending
1526,Ruhango,Sector 5,Sector 5 Site,Farmer_1526,DAP,54,35,1890,2026-07-13,Booked
1527,Gicumbi,Sector 1,Sector 1 Site,Farmer_1527,DAP,14,35,490,2026-07-19,Delivered
1529,Rwamagana,Sector 5,Sector 5 Site,Farmer_1529,DAP,5,35,175,2026-07-29,Delivered
1534,Kamonyi,Sector 1,Sector 1 Site,Farmer_1534,DAP,20,35,700,2026-07-21,Delivered
1537,Kamonyi,Sector 2,Sector 2 Site,Farmer_1537,DAP,46,35,1610,2026-07-25,Booked
1543,Kamonyi,Sector 2,Sector 2 Site,Farmer_1543,DAP,9,35,315,2026-07-16,Delivered
1544,Burera,Sector 10,Sector 10 Site,Farmer_1544,DAP,51,35,1785,2026-07-18,Booked
1545,Karongi,Sector 4,Sector 4 Site,Farmer_1545,DAP,51,35,1785,2026-07-20,Booked
1548,Muhanga,Sector 9,Sector 9 Site,Farmer_1548,DAP,30,35,1050,2026-07-03,Booked
1549,Gakenke,Sector 2,Sector 2 Site,Farmer_1549,DAP,13,35,455,2026-07-07,Booked
1551,Nyagatare,Sector 7,Sector 7 Site,Farmer_1551,DAP,56,35,1960,2026-07-07,Delivered
1556,Musanze,Sector 12,Sector 12 Site,Farmer_1556,DAP,12,35,420,2026-07-04,Booked
1566,Gatsibo,Sector 5,Sector 5 Site,Farmer_1566,DAP,18,35,630,2026-07-03,Pending
1567,Rulindo,Sector 8,Sector 8 Site,Farmer_1567,DAP,60,35,2100,2026-07-02,Delivered
1572,Kamonyi,Sector 2,Sector 2 Site,Farmer_1572,DAP,24,35,840,2026-07-28,Booked
1577,Kamonyi,Sector 12,Sector 12 Site,Farmer_1577,DAP,39,35,1365,2026-07-21,Booked
1581,Nyagatare,Sector 1,Sector 1 Site,Farmer_1581,DAP,45,35,1575,2026-07-01,Booked
1583,Ngororero,Sector 2,Sector 2 Site,Farmer_1583,DAP,41,35,1435,2026-07-07,Pending
1587,Rulindo,Sector 11,Sector 11 Site,Farmer_1587,DAP,9,35,315,2026-07-20,Pending
1594,Rusizi,Sector 11,Sector 11 Site,Farmer_1594,DAP,12,35,420,2026-07-29,Pending
1597,Nyagatare,Sector 8,Sector 8 Site,Farmer_1597,DAP,38,35,1330,2026-07-08,Booked
1605,Rubavu,Sector 12,Sector 12 Site,Farmer_1605,DAP,6,35,210,2026-07-26,Pending
1607,Ngoma,Sector 2,Sector 2 Site,Farmer_1607,DAP,12,35,420,2026-07-27,Pending
1616,Rwamagana,Sector 2,Sector 2 Site,Farmer_1616,DAP,26,35,910,2026-07-19,Pending
1618,Gatsibo,Sector 6,Sector 6 Site,Farmer_1618,DAP,42,35,1470,2026-07-03,Pending
1623,Bugesera,Sector 5,Sector 5 Site,Farmer_1623,DAP,5,35,175,2026-07-23,Booked
1627,Nyabihu,Sector 10,Sector 10 Site,Farmer_1627,DAP,47,35,1645,2026-07-18,Delivered
1629,Musanze,Sector 5,Sector 5 Site,Farmer_1629,DAP,33,35,1155,2026-07-26,Delivered
1631,Nyamasheke,Sector 10,Sector 10 Site,Farmer_1631,DAP,49,35,1715,2026-07-25,Delivered
1638,Ngoma,Sector 11,Sector 11 Site,Farmer_1638,DAP,45,35,1575,2026-07-07,Pending
1641,Ruhango,Sector 5,Sector 5 Site,Farmer_1641,DAP,36,35,1260,2026-07-09,Delivered
1643,Gicumbi,Sector 5,Sector 5 Site,Farmer_1643,DAP,28,35,980,2026-07-11,Pending
1645,Ngoma,Sector 4,Sector 4 Site,Farmer_1645,DAP,7,35,245,2026-07-19,Booked
1648,Rusizi,Sector 9,Sector 9 Site,Farmer_1648,DAP,15,35,525,2026-07-12,Delivered
1651,Huye,Sector 10,Sector 10 Site,Farmer_1651,DAP,45,35,1575,2026-07-30,Pending
1657,Huye,Sector 11,Sector 11 Site,Farmer_1657,DAP,57,35,1995,2026-07-07,Pending
1659,Gatsibo,Sector 8,Sector 8 Site,Farmer_1659,DAP,22,35,770,2026-07-04,Delivered
1660,Karongi,Sector 10,Sector 10 Site,Farmer_1660,DAP,25,35,875,2026-07-05,Delivered
1672,Ruhango,Sector 6,Sector 6 Site,Farmer_1672,DAP,37,35,1295,2026-07-27,Delivered
1675,Karongi,Sector 7,Sector 7 Site,Farmer_1675,DAP,27,35,945,2026-07-25,Pending
1676,Huye,Sector 9,Sector 9 Site,Farmer_1676,DAP,54,35,1890,2026-07-08,Delivered
1679,Musanze,Sector 6,Sector 6 Site,Farmer_1679,DAP,35,35,1225,2026-07-05,Pending
1680,Nyarugenge,Sector 7,Sector 7 Site,Farmer_1680,DAP,20,35,700,2026-07-20,Booked
1684,Gicumbi,Sector 1,Sector 1 Site,Farmer_1684,DAP,10,35,350,2026-07-27,Pending
1691,Gicumbi,Sector 7,Sector 7 Site,Farmer_1691,DAP,33,35,1155,2026-07-17,Pending
1693,Ruhango,Sector 9,Sector 9 Site,Farmer_1693,DAP,44,35,1540,2026-07-07,Delivered
1694,Rutsiro,Sector 2,Sector 2 Site,Farmer_1694,DAP,15,35,525,2026-07-12,Booked
1698,Nyaruguru,Sector 4,Sector 4 Site,Farmer_1698,DAP,57,35,1995,2026-07-19,Delivered
1701,Rulindo,Sector 3,Sector 3 Site,Farmer_1701,DAP,27,35,945,2026-07-16,Delivered
1702,Gisagara,Sector 2,Sector 2 Site,Farmer_1702,DAP,28,35,980,2026-07-20,Pending
1705,Kamonyi,Sector 12,Sector 12 Site,Farmer_1705,DAP,25,35,875,2026-07-28,Delivered
1706,Kamonyi,Sector 5,Sector 5 Site,Farmer_1706,DAP,35,35,1225,2026-07-20,Booked
1714,Karongi,Sector 12,Sector 12 Site,Farmer_1714,DAP,12,35,420,2026-07-12,Pending
1723,Musanze,Sector 3,Sector 3 Site,Farmer_1723,DAP,54,35,1890,2026-07-29,Booked
1724,Huye,Sector 12,Sector 12 Site,Farmer_1724,DAP,26,35,910,2026-07-05,Booked
1726,Rwamagana,Sector 8,Sector 8 Site,Farmer_1726,DAP,7,35,245,2026-07-27,Delivered
1731,Muhanga,Sector 4,Sector 4 Site,Farmer_1731,DAP,56,35,1960,2026-07-25,Pending
1734,Rwamagana,Sector 4,Sector 4 Site,Farmer_1734,DAP,8,35,280,2026-07-24,Delivered
1739,Rusizi,Sector 8,Sector 8 Site,Farmer_1739,DAP,8,35,280,2026-07-19,Booked
1747,Nyanza,Sector 12,Sector 12 Site,Farmer_1747,DAP,60,35,2100,2026-07-04,Pending
1748,Ngororero,Sector 4,Sector 4 Site,Farmer_1748,DAP,18,35,630,2026-07-06,Delivered
1756,Muhanga,Sector 8,Sector 8 Site,Farmer_1756,DAP,52,35,1820,2026-07-05,Pending
1759,Musanze,Sector 10,Sector 10 Site,Farmer_1759,DAP,15,35,525,2026-07-27,Delivered
1761,Kicukiro,Sector 2,Sector 2 Site,Farmer_1761,DAP,6,35,210,2026-07-26,Booked
1765,Ngororero,Sector 12,Sector 12 Site,Farmer_1765,DAP,36,35,1260,2026-07-16,Booked
1767,Kamonyi,Sector 2,Sector 2 Site,Farmer_1767,DAP,56,35,1960,2026-07-10,Booked
1770,Gasabo,Sector 11,Sector 11 Site,Farmer_1770,DAP,30,35,1050,2026-07-30,Pending
1776,Kirehe,Sector 10,Sector 10 Site,Farmer_1776,DAP,19,35,665,2026-07-16,Delivered
1779,Ngoma,Sector 7,Sector 7 Site,Farmer_1779,DAP,22,35,770,2026-07-05,Pending
1781,Nyamasheke,Sector 4,Sector 4 Site,Farmer_1781,DAP,37,35,1295,2026-07-28,Booked
1785,Gatsibo,Sector 12,Sector 12 Site,Farmer_1785,DAP,27,35,945,2026-07-13,Pending
1786,Rubavu,Sector 10,Sector 10 Site,Farmer_1786,DAP,7,35,245,2026-07-10,Pending
1790,Muhanga,Sector 9,Sector 9 Site,Farmer_1790,DAP,54,35,1890,2026-07-28,Booked
1792,Gasabo,Sector 3,Sector 3 Site,Farmer_1792,DAP,43,35,1505,2026-07-05,Booked
1793,Kayonza,Sector 6,Sector 6 Site,Farmer_1793,DAP,8,35,280,2026-07-11,Pending
1810,Rwamagana,Sector 9,Sector 9 Site,Farmer_1810,DAP,37,35,1295,2026-07-04,Pending
1817,Nyagatare,Sector 2,Sector 2 Site,Farmer_1817,DAP,53,35,1855,2026-07-28,Delivered
1818,Kirehe,Sector 4,Sector 4 Site,Farmer_1818,DAP,49,35,1715,2026-07-11,Pending
1822,Karongi,Sector 7,Sector 7 Site,Farmer_1822,DAP,37,35,1295,2026-07-29,Delivered
1823,Ngororero,Sector 2,Sector 2 Site,Farmer_1823,DAP,24,35,840,2026-07-22,Delivered
1827,Rubavu,Sector 7,Sector 7 Site,Farmer_1827,DAP,33,35,1155,2026-07-23,Pending
1829,Nyabihu,Sector 12,Sector 12 Site,Farmer_1829,DAP,46,35,1610,2026-07-21,Booked
1830,Gatsibo,Sector 12,Sector 12 Site,Farmer_1830,DAP,44,35,1540,2026-07-14,Booked
1838,Gatsibo,Sector 10,Sector 10 Site,Farmer_1838,DAP,36,35,1260,2026-07-12,Pending
1839,Rwamagana,Sector 1,Sector 1 Site,Farmer_1839,DAP,13,35,455,2026-07-14,Delivered
1845,Rulindo,Sector 6,Sector 6 Site,Farmer_1845,DAP,28,35,980,2026-07-13,Pending
1855,Gicumbi,Sector 9,Sector 9 Site,Farmer_1855,DAP,6,35,210,2026-07-26,Booked
1863,Rusizi,Sector 9,Sector 9 Site,Farmer_1863,DAP,27,35,945,2026-07-02,Pending
1865,Rubavu,Sector 11,Sector 11 Site,Farmer_1865,DAP,24,35,840,2026-07-18,Delivered
1866,Rutsiro,Sector 12,Sector 12 Site,Farmer_1866,DAP,59,35,2065,2026-07-02,Booked
1868,Nyaruguru,Sector 2,Sector 2 Site,Farmer_1868,DAP,36,35,1260,2026-07-14,Delivered
1870,Ruhango,Sector 9,Sector 9 Site,Farmer_1870,DAP,5,35,175,2026-07-13,Pending
1878,Gisagara,Sector 12,Sector 12 Site,Farmer_1878,DAP,31,35,1085,2026-07-15,Pending
1882,Ruhango,Sector 8,Sector 8 Site,Farmer_1882,DAP,5,35,175,2026-07-18,Delivered
1883,Nyabihu,Sector 8,Sector 8 Site,Farmer_1883,DAP,24,35,840,2026-07-27,Pending
1889,Nyamasheke,Sector 6,Sector 6 Site,Farmer_1889,DAP,7,35,245,2026-07-20,Pending
1890,Nyagatare,Sector 1,Sector 1 Site,Farmer_1890,DAP,38,35,1330,2026-07-11,Booked
1893,Rwamagana,Sector 12,Sector 12 Site,Farmer_1893,DAP,39,35,1365,2026-07-10,Pending
1908,Rwamagana,Sector 6,Sector 6 Site,Farmer_1908,DAP,32,35,1120,2026-07-02,Delivered
1911,Nyagatare,Sector 10,Sector 10 Site,Farmer_1911,DAP,53,35,1855,2026-07-27,Delivered
1914,Muhanga,Sector 5,Sector 5 Site,Farmer_1914,DAP,46,35,1610,2026-07-01,Delivered
1919,Rwamagana,Sector 2,Sector 2 Site,Farmer_1919,DAP,55,35,1925,2026-07-24,Delivered
1921,Rutsiro,Sector 1,Sector 1 Site,Farmer_1921,DAP,19,35,665,2026-07-24,Pending
1924,Gatsibo,Sector 5,Sector 5 Site,Farmer_1924,DAP,35,35,1225,2026-07-12,Delivered
1932,Nyamasheke,Sector 11,Sector 11 Site,Farmer_1932,DAP,28,35,980,2026-07-23,Pending
1935,Burera,Sector 9,Sector 9 Site,Farmer_1935,DAP,44,35,1540,2026-07-22,Delivered
1942,Rutsiro,Sector 6,Sector 6 Site,Farmer_1942,DAP,6,35,210,2026-07-09,Pending
1950,Gisagara,Sector 12,Sector 12 Site,Farmer_1950,DAP,48,35,1680,2026-07-03,Delivered
1954,Nyarugenge,Sector 7,Sector 7 Site,Farmer_1954,DAP,11,35,385,2026-07-23,Delivered
1958,Kicukiro,Sector 1,Sector 1 Site,Farmer_1958,DAP,44,35,1540,2026-07-18,Pending
1973,Musanze,Sector 4,Sector 4 Site,Farmer_1973,DAP,52,35,1820,2026-07-30,Delivered
1982,Nyabihu,Sector 9,Sector 9 Site,Farmer_1982,DAP,13,35,455,2026-07-19,Pending
1989,Kicukiro,Sector 10,Sector 10 Site,Farmer_1989,DAP,30,35,1050,2026-07-24,Pending
1993,Kayonza,Sector 6,Sector 6 Site,Farmer_1993,DAP,56,35,1960,2026-07-06,Delivered
1994,Nyarugenge,Sector 7,Sector 7 Site,Farmer_1994,DAP,39,35,1365,2026-07-05,Delivered
1998,Gasabo,Sector 4,Sector 4 Site,Farmer_1998,DAP,28,35,980,2026-07-01,Pending
1004,Rulindo,Sector 6,Sector 6 Site,Farmer_1004,NPK,30,32.5,975,2026-07-19,Booked
1010,Gicumbi,Sector 7,Sector 7 Site,Farmer_1010,NPK,54,32.5,1755,2026-07-23,Delivered
1012,Rulindo,Sector 9,Sector 9 Site,Farmer_1012,NPK,14,32.5,455,2026-07-08,Booked
1013,Gisagara,Sector 10,Sector 10 Site,Farmer_1013,NPK,60,32.5,1950,2026-07-04,Booked
1018,Kamonyi,Sector 5,Sector 5 Site,Farmer_1018,NPK,40,32.5,1300,2026-07-09,Booked
1019,Nyabihu,Sector 8,Sector 8 Site,Farmer_1019,NPK,39,32.5,1267.5,2026-07-22,Pending
1022,Musanze,Sector 7,Sector 7 Site,Farmer_1022,NPK,12,32.5,390,2026-07-09,Pending
1027,Rutsiro,Sector 3,Sector 3 Site,Farmer_1027,NPK,52,32.5,1690,2026-07-23,Booked
1030,Gakenke,Sector 4,Sector 4 Site,Farmer_1030,NPK,26,32.5,845,2026-07-24,Delivered
1035,Ngororero,Sector 4,Sector 4 Site,Farmer_1035,NPK,37,32.5,1202.5,2026-07-05,Delivered
1046,Rusizi,Sector 6,Sector 6 Site,Farmer_1046,NPK,6,32.5,195,2026-07-30,Delivered
1047,Bugesera,Sector 9,Sector 9 Site,Farmer_1047,NPK,34,32.5,1105,2026-07-17,Pending
